"customer","staff","date","amount","running_total"
"Carolyn Perez","Jon Stephens","2007-04-09","4.99","166.61"
"Carolyn Perez","Jon Stephens","2007-04-09","5.99","166.61"
"Christine Roberts","Mike Hillyer","2007-04-09","4.99","176.59"
"Christine Roberts","Mike Hillyer","2007-04-09","4.99","176.59"
"Janet Phillips","Mike Hillyer","2007-04-09","6.99","191.57"
"Janet Phillips","Mike Hillyer","2007-04-09","7.99","191.57"
"Frances Parker","Mike Hillyer","2007-04-09","0.99","192.56"
"Ann Evans","Jon Stephens","2007-04-09","6.99","199.55"
"Joyce Edwards","Mike Hillyer","2007-04-09","2.99","202.54"
"Diane Collins","Jon Stephens","2007-04-09","4.99","207.53"
"Alice Stewart","Jon Stephens","2007-04-09","5.99","224.50"
"Alice Stewart","Mike Hillyer","2007-04-09","7.99","224.50"
"Alice Stewart","Mike Hillyer","2007-04-09","2.99","224.50"
"Julie Sanchez","Mike Hillyer","2007-04-09","0.99","229.48"
"Julie Sanchez","Jon Stephens","2007-04-09","3.99","229.48"
"Heather Morris","Jon Stephens","2007-04-09","2.99","232.47"
"Teresa Rogers","Jon Stephens","2007-04-09","1.99","234.46"
"Gloria Cook","Mike Hillyer","2007-04-09","4.99","239.45"
"Evelyn Morgan","Mike Hillyer","2007-04-09","4.99","244.44"
"Jean Bell","Jon Stephens","2007-04-09","1.99","246.43"
"Cheryl Murphy","Mike Hillyer","2007-04-09","3.99","259.41"
"Cheryl Murphy","Jon Stephens","2007-04-09","8.99","259.41"
"Joan Cooper","Jon Stephens","2007-04-09","2.99","262.40"
"Judith Cox","Mike Hillyer","2007-04-09","3.99","270.37"
"Judith Cox","Mike Hillyer","2007-04-09","0.99","270.37"
"Judith Cox","Jon Stephens","2007-04-09","2.99","270.37"
"Kelly Torres","Jon Stephens","2007-04-09","2.99","276.35"
"Kelly Torres","Jon Stephens","2007-04-09","2.99","276.35"
"Kathy James","Jon Stephens","2007-04-09","3.99","282.33"
"Kathy James","Jon Stephens","2007-04-09","1.99","282.33"
"Theresa Watson","Mike Hillyer","2007-04-09","0.99","293.30"
"Theresa Watson","Mike Hillyer","2007-04-09","4.99","293.30"
"Theresa Watson","Jon Stephens","2007-04-09","4.99","293.30"
"Beverly Brooks","Jon Stephens","2007-04-09","4.99","298.29"
"Tammy Sanders","Jon Stephens","2007-04-09","2.99","301.28"
"Lori Wood","Mike Hillyer","2007-04-09","1.99","303.27"
"Rachel Barnes","Jon Stephens","2007-04-09","2.99","306.26"
"Marilyn Ross","Jon Stephens","2007-04-09","4.99","315.24"
"Marilyn Ross","Jon Stephens","2007-04-09","3.99","315.24"
"Andrea Henderson","Mike Hillyer","2007-04-09","0.99","316.23"
"Louise Jenkins","Jon Stephens","2007-04-09","6.99","324.21"
"Louise Jenkins","Mike Hillyer","2007-04-09","0.99","324.21"
"Sara Perry","Mike Hillyer","2007-04-09","0.99","331.19"
"Sara Perry","Mike Hillyer","2007-04-09","5.99","331.19"
"Anne Powell","Mike Hillyer","2007-04-09","4.99","337.17"
"Anne Powell","Mike Hillyer","2007-04-09","0.99","337.17"
"Jacqueline Long","Jon Stephens","2007-04-09","0.99","338.16"
"Wanda Patterson","Mike Hillyer","2007-04-09","7.99","346.15"
"Julia Flores","Jon Stephens","2007-04-09","2.99","360.12"
"Julia Flores","Jon Stephens","2007-04-09","7.99","360.12"
"Julia Flores","Mike Hillyer","2007-04-09","2.99","360.12"
"Ruby Washington","Jon Stephens","2007-04-09","0.99","361.11"
"Lois Butler","Jon Stephens","2007-04-09","4.99","368.09"
"Lois Butler","Jon Stephens","2007-04-09","1.99","368.09"
"Tina Simmons","Jon Stephens","2007-04-09","5.99","374.08"
"Phyllis Foster","Jon Stephens","2007-04-09","4.99","379.07"
"Annie Russell","Jon Stephens","2007-04-09","4.99","384.06"
"Emily Diaz","Jon Stephens","2007-04-09","2.99","387.05"
"Robin Hayes","Jon Stephens","2007-04-09","4.99","399.03"
"Robin Hayes","Jon Stephens","2007-04-09","6.99","399.03"
"Peggy Myers","Mike Hillyer","2007-04-09","5.99","411.00"
"Peggy Myers","Jon Stephens","2007-04-09","2.99","411.00"
"Peggy Myers","Jon Stephens","2007-04-09","2.99","411.00"
"Crystal Ford","Mike Hillyer","2007-04-09","4.99","427.97"
"Crystal Ford","Mike Hillyer","2007-04-09","5.99","427.97"
"Crystal Ford","Jon Stephens","2007-04-09","5.99","427.97"
"Gladys Hamilton","Jon Stephens","2007-04-09","4.99","432.96"
"Rita Graham","Mike Hillyer","2007-04-09","1.99","434.95"
"Dawn Sullivan","Mike Hillyer","2007-04-09","4.99","444.93"
"Dawn Sullivan","Jon Stephens","2007-04-09","4.99","444.93"
"Connie Wallace","Jon Stephens","2007-04-09","3.99","448.92"
"Florence Woods","Jon Stephens","2007-04-09","4.99","453.91"
"Tracy Cole","Jon Stephens","2007-04-09","6.99","460.90"
"Edna West","Jon Stephens","2007-04-09","2.99","466.88"
"Edna West","Mike Hillyer","2007-04-09","2.99","466.88"
"Rosa Reynolds","Mike Hillyer","2007-04-09","4.99","474.86"
"Rosa Reynolds","Mike Hillyer","2007-04-09","2.99","474.86"
"Cindy Fisher","Jon Stephens","2007-04-09","2.99","480.84"
"Cindy Fisher","Jon Stephens","2007-04-09","2.99","480.84"
"Grace Ellis","Mike Hillyer","2007-04-09","0.99","481.83"
"Wendy Harrison","Mike Hillyer","2007-04-09","4.99","486.82"
"Victoria Gibson","Jon Stephens","2007-04-09","2.99","489.81"
"Edith Mcdonald","Jon Stephens","2007-04-09","5.99","495.80"
"Sherry Marshall","Mike Hillyer","2007-04-09","5.99","502.78"
"Sherry Marshall","Mike Hillyer","2007-04-09","0.99","502.78"
"Sylvia Ortiz","Jon Stephens","2007-04-09","1.99","504.77"
"Thelma Murray","Jon Stephens","2007-04-09","6.99","511.76"
"Ethel Webb","Mike Hillyer","2007-04-09","2.99","514.75"
"Ellen Simpson","Jon Stephens","2007-04-09","0.99","515.74"
"Elaine Stevens","Jon Stephens","2007-04-09","2.99","518.73"
"Marjorie Tucker","Mike Hillyer","2007-04-09","2.99","521.72"
"Carrie Porter","Jon Stephens","2007-04-09","4.99","527.70"
"Carrie Porter","Mike Hillyer","2007-04-09","0.99","527.70"
"Monica Hicks","Mike Hillyer","2007-04-09","4.99","537.68"
"Monica Hicks","Mike Hillyer","2007-04-09","4.99","537.68"
"Esther Crawford","Mike Hillyer","2007-04-09","2.99","540.67"
"Pauline Henry","Jon Stephens","2007-04-09","2.99","543.66"
"Emma Boyd","Mike Hillyer","2007-04-09","4.99","548.65"
"Juanita Mason","Jon Stephens","2007-04-09","7.99","556.64"
"Rhonda Kennedy","Mike Hillyer","2007-04-09","3.99","563.62"
"Rhonda Kennedy","Mike Hillyer","2007-04-09","2.99","563.62"
"Hazel Warren","Mike Hillyer","2007-04-09","0.99","564.61"
"Amber Dixon","Jon Stephens","2007-04-09","2.99","589.57"
"Amber Dixon","Mike Hillyer","2007-04-09","6.99","589.57"
"Amber Dixon","Mike Hillyer","2007-04-09","6.99","589.57"
"Amber Dixon","Jon Stephens","2007-04-09","7.99","589.57"
"Debbie Reyes","Jon Stephens","2007-04-09","2.99","592.56"
"Clara Shaw","Jon Stephens","2007-04-09","8.99","610.53"
"Clara Shaw","Jon Stephens","2007-04-09","7.99","610.53"
"Clara Shaw","Jon Stephens","2007-04-09","0.99","610.53"
"Joanne Robertson","Jon Stephens","2007-04-09","0.99","611.52"
"Eleanor Hunt","Mike Hillyer","2007-04-09","4.99","621.50"
"Eleanor Hunt","Mike Hillyer","2007-04-09","4.99","621.50"
"Valerie Black","Mike Hillyer","2007-04-09","2.99","635.48"
"Valerie Black","Mike Hillyer","2007-04-09","10.99","635.48"
"Michele Grant","Mike Hillyer","2007-04-09","0.99","636.47"
"Gail Knight","Mike Hillyer","2007-04-09","1.99","638.46"
"Geraldine Perkins","Jon Stephens","2007-04-09","6.99","645.45"
"Lorraine Stephens","Mike Hillyer","2007-04-09","4.99","650.44"
"Lynn Payne","Jon Stephens","2007-04-09","4.99","660.42"
"Lynn Payne","Mike Hillyer","2007-04-09","4.99","660.42"
"Sally Pierce","Mike Hillyer","2007-04-09","4.99","672.38"
"Sally Pierce","Jon Stephens","2007-04-09","0.99","672.38"
"Sally Pierce","Mike Hillyer","2007-04-09","0.99","672.38"
"Sally Pierce","Mike Hillyer","2007-04-09","4.99","672.38"
"Regina Berry","Mike Hillyer","2007-04-09","0.99","673.37"
"Erica Matthews","Mike Hillyer","2007-04-09","2.99","676.36"
"Beatrice Arnold","Jon Stephens","2007-04-09","0.99","677.35"
"Audrey Ray","Mike Hillyer","2007-04-09","2.99","688.32"
"Audrey Ray","Jon Stephens","2007-04-09","4.99","688.32"
"Audrey Ray","Jon Stephens","2007-04-09","2.99","688.32"
"Yvonne Watkins","Jon Stephens","2007-04-09","4.99","693.31"
"Annette Olson","Mike Hillyer","2007-04-09","1.99","695.30"
"Marion Snyder","Mike Hillyer","2007-04-09","2.99","714.27"
"Marion Snyder","Mike Hillyer","2007-04-09","4.99","714.27"
"Marion Snyder","Mike Hillyer","2007-04-09","10.99","714.27"
"Stacy Cunningham","Jon Stephens","2007-04-09","0.99","715.26"
"Renee Lane","Mike Hillyer","2007-04-09","2.99","718.25"
"Ida Andrews","Mike Hillyer","2007-04-09","1.99","720.24"
"Brittany Riley","Jon Stephens","2007-04-09","0.99","721.23"
"Melanie Armstrong","Jon Stephens","2007-04-09","2.99","724.22"
"Jeanette Greene","Jon Stephens","2007-04-09","5.99","733.20"
"Jeanette Greene","Mike Hillyer","2007-04-09","2.99","733.20"
"Laurie Lawrence","Mike Hillyer","2007-04-09","2.99","736.19"
"Kristen Chavez","Jon Stephens","2007-04-09","2.99","742.17"
"Kristen Chavez","Mike Hillyer","2007-04-09","2.99","742.17"
"Vanessa Sims","Mike Hillyer","2007-04-09","4.99","747.16"
"Alma Austin","Jon Stephens","2007-04-09","4.99","756.14"
"Alma Austin","Jon Stephens","2007-04-09","3.99","756.14"
"Sue Peters","Jon Stephens","2007-04-09","0.99","764.12"
"Sue Peters","Jon Stephens","2007-04-09","6.99","764.12"
"Beth Franklin","Jon Stephens","2007-04-09","2.99","767.11"
"Jeanne Lawson","Mike Hillyer","2007-04-09","2.99","770.10"
"Carla Gutierrez","Jon Stephens","2007-04-09","2.99","776.08"
"Carla Gutierrez","Mike Hillyer","2007-04-09","2.99","776.08"
"Rosemary Schmidt","Jon Stephens","2007-04-09","0.99","777.07"
"Gertrude Castillo","Mike Hillyer","2007-04-09","0.99","783.05"
"Gertrude Castillo","Mike Hillyer","2007-04-09","4.99","783.05"
"Lucy Wheeler","Mike Hillyer","2007-04-09","2.99","786.04"
"Tonya Chapman","Jon Stephens","2007-04-09","5.99","796.02"
"Tonya Chapman","Jon Stephens","2007-04-09","3.99","796.02"
"Wilma Richards","Mike Hillyer","2007-04-09","6.99","803.01"
"Gina Williamson","Mike Hillyer","2007-04-09","0.99","808.99"
"Gina Williamson","Jon Stephens","2007-04-09","4.99","808.99"
"Kristin Johnston","Jon Stephens","2007-04-09","2.99","811.98"
"Vera Mccoy","Mike Hillyer","2007-04-09","0.99","812.97"
"Willie Howell","Jon Stephens","2007-04-09","0.99","823.94"
"Willie Howell","Jon Stephens","2007-04-09","4.99","823.94"
"Willie Howell","Jon Stephens","2007-04-09","4.99","823.94"
"Bessie Morrison","Mike Hillyer","2007-04-09","5.99","829.93"
"Delores Hansen","Jon Stephens","2007-04-09","8.99","842.91"
"Delores Hansen","Mike Hillyer","2007-04-09","3.99","842.91"
"Arlene Harvey","Mike Hillyer","2007-04-09","4.99","847.90"
"Maureen Little","Mike Hillyer","2007-04-09","2.99","853.88"
"Maureen Little","Mike Hillyer","2007-04-09","2.99","853.88"
"Colleen Burton","Mike Hillyer","2007-04-09","3.99","857.87"
"Allison Stanley","Mike Hillyer","2007-04-09","4.99","865.85"
"Allison Stanley","Mike Hillyer","2007-04-09","2.99","865.85"
"Joy George","Mike Hillyer","2007-04-09","4.99","874.82"
"Joy George","Mike Hillyer","2007-04-09","0.99","874.82"
"Joy George","Jon Stephens","2007-04-09","2.99","874.82"
"Georgia Jacobs","Mike Hillyer","2007-04-09","2.99","877.81"
"Lillie Kim","Jon Stephens","2007-04-09","5.99","883.80"
"Marcia Dean","Mike Hillyer","2007-04-09","2.99","886.79"
"Marlene Welch","Jon Stephens","2007-04-09","4.99","891.78"
"Heidi Larson","Jon Stephens","2007-04-09","2.99","900.75"
"Heidi Larson","Mike Hillyer","2007-04-09","4.99","900.75"
"Heidi Larson","Mike Hillyer","2007-04-09","0.99","900.75"
"Lydia Burke","Mike Hillyer","2007-04-09","0.99","901.74"
"Viola Hanson","Jon Stephens","2007-04-09","4.99","907.72"
"Viola Hanson","Jon Stephens","2007-04-09","0.99","907.72"
"Courtney Day","Jon Stephens","2007-04-09","2.99","910.71"
"Marian Mendoza","Jon Stephens","2007-04-09","0.99","911.70"
"Stella Moreno","Mike Hillyer","2007-04-09","6.99","918.69"
"Caroline Bowman","Mike Hillyer","2007-04-09","2.99","921.68"
"Dora Medina","Mike Hillyer","2007-04-09","4.99","931.66"
"Dora Medina","Mike Hillyer","2007-04-09","4.99","931.66"
"Jo Fowler","Mike Hillyer","2007-04-09","2.99","934.65"
"Vickie Brewer","Jon Stephens","2007-04-09","2.99","937.64"
"Terry Carlson","Mike Hillyer","2007-04-09","2.99","940.63"
"Maxine Silva","Jon Stephens","2007-04-09","2.99","950.60"
"Maxine Silva","Jon Stephens","2007-04-09","2.99","950.60"
"Maxine Silva","Mike Hillyer","2007-04-09","3.99","950.60"
"Mabel Holland","Mike Hillyer","2007-04-09","2.99","953.59"
"Marsha Douglas","Mike Hillyer","2007-04-09","6.99","960.58"
"Myrtle Fleming","Jon Stephens","2007-04-09","5.99","966.57"
"Deanna Byrd","Mike Hillyer","2007-04-09","3.99","976.55"
"Deanna Byrd","Mike Hillyer","2007-04-09","5.99","976.55"
"Patsy Davidson","Jon Stephens","2007-04-09","0.99","977.54"
"Hilda Hopkins","Jon Stephens","2007-04-09","2.99","982.52"
"Hilda Hopkins","Jon Stephens","2007-04-09","1.99","982.52"
"Jennie Terry","Mike Hillyer","2007-04-09","4.99","995.50"
"Jennie Terry","Jon Stephens","2007-04-09","7.99","995.50"
"Nora Herrera","Jon Stephens","2007-04-09","5.99","1001.49"
"Margie Wade","Mike Hillyer","2007-04-09","6.99","1008.48"
"Nina Soto","Mike Hillyer","2007-04-09","7.99","1016.47"
"Kay Caldwell","Jon Stephens","2007-04-09","3.99","1023.45"
"Kay Caldwell","Jon Stephens","2007-04-09","2.99","1023.45"
"Priscilla Lowe","Jon Stephens","2007-04-09","7.99","1039.43"
"Priscilla Lowe","Mike Hillyer","2007-04-09","7.99","1039.43"
"Brandy Graves","Jon Stephens","2007-04-09","4.99","1049.41"
"Brandy Graves","Jon Stephens","2007-04-09","4.99","1049.41"
"Dianne Shelton","Mike Hillyer","2007-04-09","9.99","1062.39"
"Dianne Shelton","Jon Stephens","2007-04-09","2.99","1062.39"
"Leona Obrien","Jon Stephens","2007-04-09","5.99","1068.38"
"Jenny Castro","Jon Stephens","2007-04-09","8.99","1078.36"
"Jenny Castro","Mike Hillyer","2007-04-09","0.99","1078.36"
"Sonia Gregory","Mike Hillyer","2007-04-09","6.99","1085.35"
"Miriam Mckinney","Jon Stephens","2007-04-09","2.99","1088.34"
"Becky Miles","Jon Stephens","2007-04-09","1.99","1090.33"
"Violet Rodriquez","Mike Hillyer","2007-04-09","4.99","1104.31"
"Violet Rodriquez","Jon Stephens","2007-04-09","8.99","1104.31"
"Kristina Chambers","Jon Stephens","2007-04-09","5.99","1113.29"
"Kristina Chambers","Mike Hillyer","2007-04-09","2.99","1113.29"
"Misty Lambert","Jon Stephens","2007-04-09","0.99","1119.27"
"Misty Lambert","Jon Stephens","2007-04-09","4.99","1119.27"
"Daisy Bates","Jon Stephens","2007-04-09","4.99","1130.24"
"Daisy Bates","Mike Hillyer","2007-04-09","2.99","1130.24"
"Daisy Bates","Jon Stephens","2007-04-09","2.99","1130.24"
"Ramona Hale","Jon Stephens","2007-04-09","0.99","1131.23"
"Erika Pena","Jon Stephens","2007-04-09","2.99","1137.21"
"Erika Pena","Mike Hillyer","2007-04-09","2.99","1137.21"
"James Gannon","Jon Stephens","2007-04-09","1.99","1139.20"
"Robert Baughman","Jon Stephens","2007-04-09","4.99","1151.18"
"Robert Baughman","Mike Hillyer","2007-04-09","6.99","1151.18"
"Michael Silverman","Jon Stephens","2007-04-09","0.99","1152.17"
"William Satterfield","Mike Hillyer","2007-04-09","4.99","1157.16"
"David Royal","Mike Hillyer","2007-04-09","2.99","1160.15"
"Richard Mccrary","Mike Hillyer","2007-04-09","2.99","1164.13"
"Richard Mccrary","Jon Stephens","2007-04-09","0.99","1164.13"
"Christopher Greco","Jon Stephens","2007-04-09","8.99","1173.12"
"Paul Trout","Jon Stephens","2007-04-09","5.99","1179.11"
"Mark Rinehart","Mike Hillyer","2007-04-09","5.99","1185.10"
"Donald Mahon","Mike Hillyer","2007-04-09","5.99","1191.09"
"George Linton","Jon Stephens","2007-04-09","4.99","1196.08"
"Kenneth Gooden","Jon Stephens","2007-04-09","6.99","1203.07"
"Steven Curley","Jon Stephens","2007-04-09","3.99","1207.06"
"Kevin Schuler","Jon Stephens","2007-04-09","2.99","1210.05"
"Timothy Bunn","Mike Hillyer","2007-04-09","5.99","1216.04"
"Jose Andrew","Mike Hillyer","2007-04-09","5.99","1222.03"
"Jeffrey Spear","Mike Hillyer","2007-04-09","4.99","1227.02"
"Scott Shelley","Jon Stephens","2007-04-09","2.99","1230.01"
"Eric Robert","Mike Hillyer","2007-04-09","2.99","1233.00"
"Stephen Qualls","Jon Stephens","2007-04-09","2.99","1242.95"
"Stephen Qualls","Jon Stephens","2007-04-09","0.99","1242.95"
"Stephen Qualls","Mike Hillyer","2007-04-09","0.99","1242.95"
"Stephen Qualls","Jon Stephens","2007-04-09","2.99","1242.95"
"Stephen Qualls","Mike Hillyer","2007-04-09","1.99","1242.95"
"Andrew Purdy","Jon Stephens","2007-04-09","0.99","1243.94"
"Raymond Mcwhorter","Jon Stephens","2007-04-09","4.99","1249.92"
"Raymond Mcwhorter","Jon Stephens","2007-04-09","0.99","1249.92"
"Gregory Mauldin","Mike Hillyer","2007-04-09","0.99","1255.90"
"Gregory Mauldin","Mike Hillyer","2007-04-09","4.99","1255.90"
"Jerry Jordon","Mike Hillyer","2007-04-09","2.99","1258.89"
"Dennis Gilman","Mike Hillyer","2007-04-09","4.99","1263.88"
"Peter Menard","Jon Stephens","2007-04-09","4.99","1268.87"
"Douglas Graf","Mike Hillyer","2007-04-09","3.99","1277.85"
"Douglas Graf","Jon Stephens","2007-04-09","4.99","1277.85"
"Carl Artis","Jon Stephens","2007-04-09","3.99","1281.84"
"Arthur Simpkins","Mike Hillyer","2007-04-09","4.99","1286.83"
"Ryan Salisbury","Jon Stephens","2007-04-09","0.99","1287.82"
"Roger Quintanilla","Mike Hillyer","2007-04-09","4.99","1292.81"
"Joe Gilliland","Mike Hillyer","2007-04-09","4.99","1297.80"
"Juan Fraley","Mike Hillyer","2007-04-09","2.99","1301.78"
"Juan Fraley","Mike Hillyer","2007-04-09","0.99","1301.78"
"Jack Foust","Mike Hillyer","2007-04-09","0.99","1302.77"
"Justin Ngo","Mike Hillyer","2007-04-09","4.99","1307.76"
"Terry Grissom","Mike Hillyer","2007-04-09","4.99","1312.75"
"Gerald Fultz","Mike Hillyer","2007-04-09","0.99","1313.74"
"Samuel Marlow","Jon Stephens","2007-04-09","5.99","1319.73"
"Ralph Madrigal","Jon Stephens","2007-04-09","2.99","1322.72"
"Lawrence Lawton","Jon Stephens","2007-04-09","2.99","1325.71"
"Nicholas Barfield","Mike Hillyer","2007-04-09","4.99","1330.70"
"Brandon Huey","Jon Stephens","2007-04-09","0.99","1331.69"
"Adam Gooch","Jon Stephens","2007-04-09","4.99","1336.68"
"Fred Wheat","Mike Hillyer","2007-04-09","1.99","1346.66"
"Fred Wheat","Jon Stephens","2007-04-09","7.99","1346.66"
"Billy Poulin","Mike Hillyer","2007-04-09","4.99","1351.65"
"Steve Mackenzie","Mike Hillyer","2007-04-09","4.99","1369.61"
"Steve Mackenzie","Mike Hillyer","2007-04-09","2.99","1369.61"
"Steve Mackenzie","Mike Hillyer","2007-04-09","6.99","1369.61"
"Steve Mackenzie","Mike Hillyer","2007-04-09","2.99","1369.61"
"Louis Leone","Mike Hillyer","2007-04-09","5.99","1375.60"
"Jeremy Hurtado","Mike Hillyer","2007-04-09","4.99","1380.59"
"Aaron Selby","Jon Stephens","2007-04-09","2.99","1383.58"
"Carlos Coughlin","Mike Hillyer","2007-04-09","4.99","1388.57"
"Russell Brinson","Jon Stephens","2007-04-09","0.99","1389.56"
"Ernest Stepp","Jon Stephens","2007-04-09","0.99","1390.55"
"Alan Kahn","Mike Hillyer","2007-04-09","0.99","1391.54"
"Philip Causey","Mike Hillyer","2007-04-09","4.99","1396.53"
"Chris Brothers","Jon Stephens","2007-04-09","4.99","1401.52"
"Johnny Turpin","Jon Stephens","2007-04-09","0.99","1403.50"
"Johnny Turpin","Mike Hillyer","2007-04-09","0.99","1403.50"
"Earl Shanks","Mike Hillyer","2007-04-09","1.99","1405.49"
"Jimmy Schrader","Jon Stephens","2007-04-09","4.99","1410.48"
"Antonio Meek","Jon Stephens","2007-04-09","5.99","1416.47"
"Danny Isom","Mike Hillyer","2007-04-09","0.99","1417.46"
"Bryan Hardison","Jon Stephens","2007-04-09","5.99","1430.44"
"Bryan Hardison","Jon Stephens","2007-04-09","6.99","1430.44"
"Luis Yanez","Jon Stephens","2007-04-09","4.99","1435.43"
"Leonard Schofield","Mike Hillyer","2007-04-09","0.99","1446.40"
"Leonard Schofield","Jon Stephens","2007-04-09","7.99","1446.40"
"Leonard Schofield","Jon Stephens","2007-04-09","1.99","1446.40"
"Nathan Runyon","Jon Stephens","2007-04-09","4.99","1452.38"
"Nathan Runyon","Jon Stephens","2007-04-09","0.99","1452.38"
"Dale Ratcliff","Mike Hillyer","2007-04-09","4.99","1457.37"
"Manuel Murrell","Jon Stephens","2007-04-09","0.99","1458.36"
"Rodney Moeller","Jon Stephens","2007-04-09","5.99","1469.33"
"Rodney Moeller","Mike Hillyer","2007-04-09","3.99","1469.33"
"Rodney Moeller","Mike Hillyer","2007-04-09","0.99","1469.33"
"Curtis Irby","Jon Stephens","2007-04-09","5.99","1487.29"
"Curtis Irby","Mike Hillyer","2007-04-09","2.99","1487.29"
"Curtis Irby","Mike Hillyer","2007-04-09","3.99","1487.29"
"Curtis Irby","Mike Hillyer","2007-04-09","4.99","1487.29"
"Norman Currier","Jon Stephens","2007-04-09","5.99","1493.28"
"Chad Carbone","Jon Stephens","2007-04-09","5.99","1499.27"
"Jacob Lance","Mike Hillyer","2007-04-09","4.99","1509.25"
"Jacob Lance","Jon Stephens","2007-04-09","4.99","1509.25"
"Francis Sikes","Mike Hillyer","2007-04-09","4.99","1517.23"
"Francis Sikes","Jon Stephens","2007-04-09","2.99","1517.23"
"Jesus Mccartney","Jon Stephens","2007-04-09","2.99","1520.22"
"Herbert Kruger","Mike Hillyer","2007-04-09","4.99","1525.21"
"Ray Houle","Mike Hillyer","2007-04-09","5.99","1531.20"
"Edwin Burk","Mike Hillyer","2007-04-09","6.99","1541.18"
"Edwin Burk","Mike Hillyer","2007-04-09","2.99","1541.18"
"Don Bone","Jon Stephens","2007-04-09","0.99","1542.17"
"Eddie Tomlin","Jon Stephens","2007-04-09","2.99","1545.16"
"Ricky Shelby","Jon Stephens","2007-04-09","4.99","1550.15"
"Randall Neumann","Jon Stephens","2007-04-09","4.99","1557.13"
"Randall Neumann","Mike Hillyer","2007-04-09","1.99","1557.13"
"Barry Lovelace","Jon Stephens","2007-04-09","4.99","1567.11"
"Barry Lovelace","Jon Stephens","2007-04-09","4.99","1567.11"
"Bernard Colby","Jon Stephens","2007-04-09","2.99","1570.10"
"Mario Cheatham","Jon Stephens","2007-04-09","2.99","1573.09"
"Micheal Forman","Jon Stephens","2007-04-09","2.99","1576.08"
"Theodore Culp","Jon Stephens","2007-04-09","2.99","1584.06"
"Theodore Culp","Jon Stephens","2007-04-09","4.99","1584.06"
"Clifford Bowens","Mike Hillyer","2007-04-09","4.99","1589.05"
"Jim Rea","Jon Stephens","2007-04-09","8.99","1598.04"
"Tom Milner","Jon Stephens","2007-04-09","0.99","1601.02"
"Tom Milner","Mike Hillyer","2007-04-09","1.99","1601.02"
"Calvin Martel","Jon Stephens","2007-04-09","6.99","1608.01"
"Alex Gresham","Jon Stephens","2007-04-09","2.99","1615.99"
"Alex Gresham","Jon Stephens","2007-04-09","4.99","1615.99"
"Jon Wiles","Mike Hillyer","2007-04-09","6.99","1622.98"
"Bill Gavin","Mike Hillyer","2007-04-09","0.99","1623.97"
"Lloyd Dowd","Mike Hillyer","2007-04-09","2.99","1626.96"
"Tommy Collazo","Mike Hillyer","2007-04-09","3.99","1630.95"
"Leon Bostic","Jon Stephens","2007-04-09","3.99","1634.94"
"Darrell Power","Mike Hillyer","2007-04-09","2.99","1641.91"
"Darrell Power","Mike Hillyer","2007-04-09","2.99","1641.91"
"Darrell Power","Mike Hillyer","2007-04-09","0.99","1641.91"
"Jerome Kenyon","Jon Stephens","2007-04-09","6.99","1648.90"
"Leo Ebert","Jon Stephens","2007-04-09","0.99","1649.89"
"Alvin Deloach","Jon Stephens","2007-04-09","4.99","1654.88"
"Tim Cary","Mike Hillyer","2007-04-09","2.99","1657.87"
"Wesley Bull","Mike Hillyer","2007-04-09","0.99","1662.85"
"Wesley Bull","Mike Hillyer","2007-04-09","3.99","1662.85"
"Gordon Allard","Jon Stephens","2007-04-09","4.99","1667.84"
"Greg Robins","Jon Stephens","2007-04-09","2.99","1670.83"
"Jorge Olivares","Jon Stephens","2007-04-09","5.99","1676.82"
"Dustin Gillette","Mike Hillyer","2007-04-09","0.99","1677.81"
"Pedro Chestnut","Jon Stephens","2007-04-09","0.99","1692.77"
"Pedro Chestnut","Mike Hillyer","2007-04-09","0.99","1692.77"
"Pedro Chestnut","Jon Stephens","2007-04-09","9.99","1692.77"
"Pedro Chestnut","Jon Stephens","2007-04-09","2.99","1692.77"
"Zachary Hite","Mike Hillyer","2007-04-09","0.99","1693.76"
"Maurice Crawley","Mike Hillyer","2007-04-09","4.99","1703.74"
"Maurice Crawley","Mike Hillyer","2007-04-09","4.99","1703.74"
"Roberto Vu","Mike Hillyer","2007-04-09","2.99","1706.73"
"Clyde Tobias","Mike Hillyer","2007-04-09","2.99","1717.70"
"Clyde Tobias","Mike Hillyer","2007-04-09","3.99","1717.70"
"Clyde Tobias","Mike Hillyer","2007-04-09","3.99","1717.70"
"Shane Millard","Mike Hillyer","2007-04-09","8.99","1726.69"
"Sam Mcduffie","Jon Stephens","2007-04-09","0.99","1735.67"
"Sam Mcduffie","Jon Stephens","2007-04-09","7.99","1735.67"
"Rick Mattox","Jon Stephens","2007-04-09","6.99","1742.66"
"Lester Kraus","Jon Stephens","2007-04-09","0.99","1743.65"
"Ramon Choate","Mike Hillyer","2007-04-09","2.99","1751.63"
"Ramon Choate","Jon Stephens","2007-04-09","4.99","1751.63"
"Charlie Bess","Jon Stephens","2007-04-09","7.99","1759.62"
"Gilbert Sledge","Mike Hillyer","2007-04-09","4.99","1769.60"
"Gilbert Sledge","Mike Hillyer","2007-04-09","4.99","1769.60"
"Gene Sanborn","Mike Hillyer","2007-04-09","2.99","1772.59"
"Marc Outlaw","Jon Stephens","2007-04-09","2.99","1782.56"
"Marc Outlaw","Jon Stephens","2007-04-09","3.99","1782.56"
"Marc Outlaw","Mike Hillyer","2007-04-09","2.99","1782.56"
